Date,Open,High,Low,Close ,Adj Close ,Volume
4/16/2025,155.37,155.63,152.24,153.91,149.74,"7,986,900"
4/15/2025,155.7,156.3,152.1,153.62,149.46,"10,847,700"
4/14/2025,151.59,154.67,151.17,154.36,150.18,"10,685,300"
4/11/2025,149.33,152.35,148.19,151.73,147.62,"9,943,900"
4/10/2025,150.37,151.2,145.13,148.69,144.66,"13,830,500"
4/9/2025,142.2,153.19,141.5,150.97,146.88,"18,773,700"
4/8/2025,153.59,153.59,148,150,145.93,"12,018,400"
4/7/2025,151.28,152.71,147.4,150.62,146.54,"18,083,000"
4/4/2025,159.16,159.82,152.93,153.24,149.09,"16,601,700"
4/3/2025,158.75,160.65,157.48,159.82,155.49,"13,249,300"
4/2/2025,154.01,155.79,153.45,155.36,151.15,"10,356,900"
4/1/2025,160.73,161.81,153.13,153.25,149.1,"23,303,100"
3/31/2025,164.37,166.63,164.23,165.84,161.34,"12,481,400"
3/28/2025,163.59,164.52,162.91,163.71,159.27,"5,760,300"
3/27/2025,162.35,164.07,161.32,163.13,158.71,"6,752,500"
3/26/2025,161.21,162.49,160.64,161.72,157.34,"7,223,500"
3/25/2025,163.52,164.19,160.56,161.02,156.66,"7,456,200"
3/24/2025,162.84,164.39,162.5,163.29,158.86,"8,046,400"
3/21/2025,163,164.13,162.48,163.63,159.19,"17,047,100"
3/20/2025,163,163.2,161.93,163.02,158.6,"7,485,900"
3/19/2025,163.97,164.36,162.21,162.99,158.57,"5,936,400"
3/18/2025,163.44,164.86,162.97,164.25,159.8,"7,348,800"
3/17/2025,162.41,163.5,161.73,162.84,158.43,"6,669,800"
3/14/2025,162.12,163.15,161.1,162.81,158.4,"6,235,800"
3/13/2025,163.43,164.54,162.66,162.99,158.57,"5,286,700"
3/12/2025,163.73,164.21,162.23,162.85,158.44,"8,010,700"
3/11/2025,167.2,167.3,165.05,165.86,161.36,"9,890,300"
3/10/2025,167.48,169.9,167.05,167.7,163.15,"17,559,000"
3/7/2025,165.13,168.46,164.7,166.69,162.17,"9,637,600"
3/6/2025,165,165.87,163.51,165.83,161.33,"8,037,900"
3/5/2025,164.51,166.46,163.53,165.12,160.64,"8,744,800"
3/4/2025,168.08,169.99,165.32,165.42,160.94,"11,999,700"
3/3/2025,164.96,167.33,164.84,167.28,162.75,"9,191,500"
2/28/2025,164.31,165.94,162.7,165.02,160.55,"12,037,200"
2/27/2025,162.31,163.95,161.73,163.73,159.29,"8,364,600"
2/26/2025,165.08,165.13,162.56,163.08,158.66,"11,396,400"
2/25/2025,164.1,166.43,163.94,166.09,161.59,"12,303,700"
2/24/2025,162.68,164.87,162.05,163.74,159.3,"10,201,900"
2/21/2025,159.88,163.51,159.28,162.3,157.9,"12,546,900"
2/20/2025,156.95,159.95,156.95,159.68,155.35,"7,224,000"
2/19/2025,155,158.3,154.75,157.89,153.61,"7,974,700"
2/18/2025,154.14,155.45,153.24,154.99,150.79,"9,670,700"
2/14/2025,157.29,157.47,156.06,156.15,150.71,"6,411,800"
2/13/2025,155.26,158.13,154.79,157.25,151.77,"10,704,700"
2/12/2025,155.27,155.66,154.27,155.26,149.85,"7,746,000"
2/11/2025,154.11,156.39,153.94,156.13,150.69,"7,554,500"
2/10/2025,153.61,154.37,152.29,154.24,148.87,"6,936,200"
2/7/2025,153.53,154.49,152.8,153.12,147.79,"6,204,900"
2/6/2025,154.79,154.84,153.38,153.51,148.16,"7,418,100"
2/5/2025,153.82,154.73,153.31,154.69,149.3,"8,947,000"
2/4/2025,151.36,154.18,150.95,153.49,148.14,"9,645,000"
2/3/2025,152,152.47,150.78,151.87,146.58,"6,687,500"
1/31/2025,152.62,153.18,152.06,152.15,146.85,"8,457,800"
1/30/2025,151.91,154.14,151.36,152.87,147.55,"8,911,000"
1/29/2025,150.5,151.88,150,151.15,145.89,"7,156,400"
1/28/2025,152.66,152.97,150.3,150.38,145.14,"10,320,600"
1/27/2025,148.45,153.45,148,152.89,147.56,"15,152,300"
1/24/2025,146.81,147.63,146.38,146.82,141.71,"9,887,300"
1/23/2025,145.44,147.91,144.81,146.64,141.53,"10,506,400"
1/22/2025,144,145.47,142.11,145.27,140.21,"16,834,700"
1/21/2025,147.56,148.86,147.05,148.15,142.99,"11,111,700"
1/17/2025,147.44,148.38,146.61,147.03,141.91,"10,773,100"
1/16/2025,144.32,148.07,144.06,147.77,142.62,"8,964,000"
1/15/2025,145.31,146.05,144.26,144.97,139.92,"7,434,600"
1/14/2025,144.5,144.81,142.86,144.75,139.71,"8,681,700"
1/13/2025,142.98,145.07,142.31,144.47,139.44,"10,376,400"
1/10/2025,141,143.67,140.68,142.06,137.11,"8,821,500"
1/8/2025,145.49,145.59,141.44,142.27,137.31,"11,175,600"
1/7/2025,143.76,147.18,143.59,146.23,141.14,"8,422,000"
1/6/2025,143.51,144.82,142.93,143.66,138.66,"7,910,500"
1/3/2025,144.07,144.57,143.62,144.19,139.17,"5,878,800"
1/2/2025,145.23,145.77,143.78,144.02,139,"6,051,300"
12/31/2024,143.76,144.67,143.31,144.62,139.58,"5,811,400"
12/30/2024,144.84,144.88,142.95,143.34,138.35,"6,268,700"
12/27/2024,144.87,146.6,144.68,145.05,140,"5,588,300"
12/26/2024,145.51,146.37,145.09,145.58,140.51,"4,656,300"
12/24/2024,145,145.85,144.33,145.85,140.77,"3,164,100"
12/23/2024,144.63,145.33,143.45,145.27,140.21,"8,720,800"
12/20/2024,143.05,145.47,142.75,144.47,139.44,"17,702,800"
12/19/2024,144.14,145.22,143.37,143.58,138.58,"9,516,700"
12/18/2024,145.68,146.74,144.67,144.75,139.71,"9,336,100"
12/17/2024,143.84,146.66,143.71,146.41,141.31,"10,343,000"
12/16/2024,146.73,147.25,143.52,143.85,138.84,"8,732,400"
12/13/2024,145.66,146.93,145.04,146.62,141.51,"8,324,900"
12/12/2024,147.2,147.77,146.01,146.24,141.15,"6,176,300"
12/11/2024,148.5,148.5,146.37,146.64,141.53,"13,446,700"
12/10/2024,149.93,150.83,148.33,149.23,144.03,"9,398,700"
12/9/2024,149.29,150.89,148.44,149.6,144.39,"8,410,300"
12/6/2024,149.39,150.05,148.38,149.31,144.11,"8,389,600"
12/5/2024,150,150.38,148.95,149.52,144.31,"7,898,100"
12/4/2024,151.29,151.56,149.75,150.47,145.23,"10,333,100"
12/3/2024,154.8,154.8,152.31,152.36,147.05,"8,674,400"
12/2/2024,154.75,155,153.93,154.8,149.41,"6,946,500"
11/29/2024,154.89,155.67,154.17,155.01,149.61,"5,687,800"
11/27/2024,154.63,156.63,154.6,155.4,149.99,"4,140,400"
11/26/2024,155.16,155.25,153.16,154.52,149.14,"5,683,500"
11/25/2024,155.17,157.04,155.14,155.78,149.16,"12,256,200"
11/22/2024,155.9,157.12,154.11,155.17,148.57,"8,266,000"
11/21/2024,153.62,156.06,152.81,155.5,148.89,"10,141,100"
11/20/2024,153.03,153.25,151.81,153.11,146.6,"9,061,300"
11/19/2024,153.95,153.99,152.05,153,146.5,"8,233,700"
11/18/2024,152.59,155.33,152.33,154.77,148.19,"7,510,600"
11/15/2024,150.9,154.43,150.9,154,147.45,"11,328,500"
11/14/2024,153.18,153.59,150.76,151.87,145.41,"7,716,400"
11/13/2024,152.5,153.51,151.42,153.24,146.72,"7,161,900"
11/12/2024,154.53,155.04,152.37,152.64,146.15,"7,181,400"
11/11/2024,155.62,157.58,154.91,155.04,148.45,"7,146,800"
11/8/2024,157,157.08,155.41,155.47,148.86,"8,926,100"
11/7/2024,158.47,158.75,156.51,156.73,150.07,"7,522,800"
11/6/2024,159.9,160.85,157.35,157.88,151.17,"8,926,600"
