Date,Portfolio_Value,Week_Return,Week_PnL,Cumulative_PnL,Cumulative_Return,Result
2025-01-24,14091.36,0.012732,177.16,4091.36,0.409136,Profit
2025-01-31,13890.82,-0.014231,-200.54,3890.82,0.389082,Loss
2025-02-07,13910.56,0.001421,19.74,3910.56,0.391056,Profit
2025-02-14,14049.13,0.009961,138.57,4049.13,0.404913,Profit
2025-02-21,13878.65,-0.012134,-170.48,3878.65,0.387865,Loss
2025-02-28,13557.15,-0.023165,-321.5,3557.15,0.355715,Loss
2025-03-07,12879.66,-0.049973,-677.49,2879.66,0.287966,Loss
2025-03-14,12644.82,-0.018234,-234.85,2644.82,0.264482,Loss
2025-03-21,12870.78,0.01787,225.97,2870.78,0.287078,Profit
2025-03-28,12726.43,-0.011216,-144.36,2726.43,0.272643,Loss
2025-04-04,11509.71,-0.095605,-1216.71,1509.71,0.150971,Loss
2025-04-11,12174.16,0.05773,664.45,2174.16,0.217416,Profit
2025-04-18,11896.47,-0.02281,-277.69,1896.47,0.189647,Loss
2025-04-25,12732.28,0.070257,835.81,2732.28,0.273228,Profit
2025-05-02,13188.72,0.035849,456.44,3188.72,0.318872,Profit
2025-05-09,13056.01,-0.010063,-132.71,3056.01,0.305601,Loss
2025-05-16,14025.54,0.07426,969.53,4025.54,0.402554,Profit
2025-05-23,13711.36,-0.022401,-314.19,3711.36,0.371136,Loss
2025-05-30,13940.09,0.016682,228.73,3940.09,0.394009,Profit
2025-06-06,14023.53,0.005986,83.44,4023.53,0.402353,Profit
2025-06-13,14265.73,0.017271,242.2,4265.73,0.426573,Profit
2025-06-20,14344.59,0.005528,78.86,4344.59,0.434459,Profit
2025-06-27,14717.17,0.025973,372.58,4717.17,0.471717,Profit
2025-07-04,15040.78,0.021989,323.62,5040.78,0.504078,Profit
2025-07-11,15066.66,0.00172,25.87,5066.66,0.506666,Profit
2025-07-18,15092.3,0.001702,25.64,5092.3,0.50923,Profit
2025-07-25,15423.6,0.021952,331.3,5423.6,0.54236,Profit
2025-08-01,15186.23,-0.015391,-237.38,5186.23,0.518623,Loss
2025-08-08,15814.79,0.041391,628.57,5814.79,0.581479,Profit
2025-08-15,15930.45,0.007313,115.65,5930.45,0.593045,Profit
2025-08-22,15927.97,-0.000155,-2.48,5927.97,0.592797,Loss
2025-08-29,15896.78,-0.001959,-31.2,5896.78,0.589678,Loss
2025-09-05,15869.77,-0.001699,-27.01,5869.77,0.586977,Loss
2025-09-12,16221.47,0.022162,351.7,6221.47,0.622147,Profit
2025-09-19,16505.27,0.017496,283.81,6505.27,0.650527,Profit
2025-09-26,16524.37,0.001157,19.1,6524.37,0.652437,Profit
2025-10-03,16521.66,-0.000164,-2.71,6521.66,0.652166,Loss
2025-10-10,15995.22,-0.031864,-526.44,5995.22,0.599522,Loss
2025-10-17,16291.75,0.018539,296.53,6291.75,0.629175,Profit
2025-10-24,16616.01,0.019903,324.26,6616.01,0.661601,Profit
2025-10-31,16669.63,0.003227,53.62,6669.63,0.666963,Profit
2025-11-07,16268.87,-0.024041,-400.76,6268.87,0.626887,Loss
2025-11-14,16250.36,-0.001138,-18.51,6250.36,0.625036,Loss
2025-11-21,15816.1,-0.026723,-434.26,5816.1,0.58161,Loss
2025-11-28,16490.16,0.042619,674.06,6490.16,0.649016,Profit
2025-12-05,16790.21,0.018196,300.05,6790.21,0.679021,Profit
2025-12-12,16791.35,6.8e-05,1.13,6791.35,0.679135,Profit
2025-12-19,16930.05,0.00826,138.7,6930.05,0.693005,Profit
2025-12-26,17076.1,0.008627,146.06,7076.1,0.70761,Profit
2026-01-02,16940.68,-0.00793,-135.42,6940.68,0.694068,Loss
2026-01-09,17169.4,0.013501,228.72,7169.4,0.71694,Profit
2026-01-16,17106.46,-0.003666,-62.94,7106.46,0.710646,Loss
2026-01-23,17035.27,-0.004161,-71.18,7035.27,0.703527,Loss
2026-01-30,17375.1,0.019949,339.83,7375.1,0.73751,Profit
2026-02-06,17475.13,0.005757,100.03,7475.13,0.747513,Profit
2026-02-13,17002.06,-0.027071,-473.06,7002.06,0.700206,Loss
2026-02-20,17267.23,0.015596,265.17,7267.23,0.726723,Profit
2026-02-27,17184.02,-0.004819,-83.22,7184.02,0.718402,Loss
